respondent_id,h1n1_vaccine,seasonal_vaccine,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,behavioral_outside_home,chronic_med_condition,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,sex,income_poverty,employment_status,census_msa
3396,0,1,2,1,1,0,0,0,5,4,2,5,2,2,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
3397,0,0,0,0,0,0,0,1,5,1,1,1,1,1,45 - 54 Years,< 12 Years,Male,"<= $75,000, Above Poverty",Unemployed,Non-MSA
3398,0,0,2,1,1,0,0,0,3,4,2,3,2,2,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3399,0,0,2,1,1,0,0,0,4,3,2,2,4,2,18 - 34 Years,,Female,,,"MSA, Principle City"
3402,0,0,2,1,1,0,0,1,3,4,1,5,5,1,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3403,0,0,1,2,0,0,0,0,4,2,1,4,2,1,35 - 44 Years,College Graduate,Male,,Employed,Non-MSA
3404,0,0,2,1,0,0,1,0,2,2,2,2,2,2,65+ Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3405,0,0,3,1,1,0,1,0,2,4,5,4,2,4,18 - 34 Years,12 Years,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3406,0,1,2,2,0,0,0,0,4,4,2,4,,2,45 - 54 Years,College Graduate,Male,"<= $75,000, Above Poverty",,"MSA, Not Principle  City"
3407,0,0,1,1,0,0,0,0,4,1,1,5,2,1,18 - 34 Years,12 Years,Male,"<= $75,000, Above Poverty",Unemployed,"MSA, Principle City"
3408,1,1,2,1,1,0,0,1,4,4,1,4,4,1,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3409,0,1,1,1,1,0,0,1,2,2,2,4,2,1,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3413,0,1,1,1,1,0,0,0,4,4,4,4,4,2,18 - 34 Years,< 12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3414,0,1,2,0,1,0,1,1,5,5,2,5,4,1,35 - 44 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3415,0,1,1,1,1,0,0,0,4,1,1,4,2,1,55 - 64 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Principle City"
3417,0,0,1,1,1,0,1,0,4,2,2,4,2,2,45 - 54 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3418,0,1,2,2,1,0,1,0,3,1,2,3,4,1,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3419,1,1,1,1,1,0,0,0,4,4,4,5,5,4,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
3420,0,1,2,1,1,0,0,1,4,4,2,5,5,4,55 - 64 Years,Some College,Male,"> $75,000",Employed,Non-MSA
3422,0,0,3,0,0,0,1,,3,3,,,,,18 - 34 Years,,Female,,,"MSA, Not Principle  City"
3423,0,0,2,1,1,0,0,0,4,2,2,4,4,2,35 - 44 Years,12 Years,Male,"> $75,000",Employed,"MSA, Not Principle  City"
3425,0,0,1,1,0,0,0,1,3,1,2,2,1,4,18 - 34 Years,Some College,Female,,Not in Labor Force,"MSA, Not Principle  City"
3426,0,1,2,1,1,0,0,1,4,2,2,4,4,1,65+ Years,Some College,Female,,Not in Labor Force,"MSA, Principle City"
3427,0,1,1,1,1,0,0,0,5,1,2,5,4,4,18 - 34 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3429,0,0,1,1,0,0,0,0,4,2,1,4,2,2,45 - 54 Years,College Graduate,Female,,Employed,Non-MSA
3430,1,1,3,1,1,0,0,0,5,4,1,5,5,1,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3431,0,1,1,1,0,0,0,1,4,2,2,5,2,2,65+ Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3433,1,1,1,1,1,0,0,0,4,2,2,4,2,2,55 - 64 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
3434,0,0,0,1,0,0,0,0,5,1,1,5,2,1,18 - 34 Years,Some College,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3435,0,1,2,2,1,0,0,1,3,3,2,5,3,1,45 - 54 Years,College Graduate,Male,,Employed,"MSA, Principle City"
3436,0,0,1,0,1,0,0,0,1,2,1,1,2,4,18 - 34 Years,12 Years,Female,"<= $75,000, Above Poverty",Unemployed,"MSA, Principle City"
3438,0,0,0,0,1,0,0,,,,,,,,45 - 54 Years,,Female,,,"MSA, Principle City"
3439,0,1,1,1,0,0,0,0,4,2,4,5,4,2,55 - 64 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Principle City"
3440,0,0,1,2,,0,0,0,4,2,1,4,2,1,45 - 54 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Principle City"
3442,0,0,0,1,0,0,0,0,4,1,1,4,1,4,18 - 34 Years,Some College,Male,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
3443,0,1,2,1,1,0,0,0,5,2,2,5,4,2,35 - 44 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
3446,0,1,1,1,1,0,0,0,3,3,1,4,2,1,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
3450,0,1,1,1,1,0,1,1,4,1,1,1,1,4,45 - 54 Years,< 12 Years,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
3452,1,1,2,1,1,0,0,0,5,2,1,5,4,1,65+ Years,12 Years,Female,,Not in Labor Force,"MSA, Not Principle  City"
3453,0,0,2,1,0,0,0,0,4,2,1,4,2,2,45 - 54 Years,Some College,Female,Below Poverty,Unemployed,"MSA, Principle City"
3456,0,0,2,1,1,0,0,0,3,1,1,4,1,1,35 - 44 Years,12 Years,Female,"<= $75,000, Above Poverty",Unemployed,"MSA, Principle City"
3458,0,0,0,1,1,0,0,1,4,,1,4,,1,45 - 54 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3460,0,0,1,2,0,0,0,1,4,2,5,1,1,5,35 - 44 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
3463,0,1,0,2,1,0,0,1,4,1,4,5,2,1,55 - 64 Years,College Graduate,Female,,Not in Labor Force,Non-MSA
3464,0,1,3,1,1,0,0,0,3,2,2,5,5,1,65+ Years,< 12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3465,0,0,2,2,0,0,0,0,4,4,2,4,2,2,18 - 34 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3466,0,0,2,2,1,0,0,0,3,2,2,4,2,2,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3467,0,1,2,1,1,0,0,0,3,2,2,4,2,2,65+ Years,Some College,Female,"> $75,000",Not in Labor Force,"MSA, Principle City"
3468,0,0,2,1,1,0,0,0,4,4,4,4,4,4,35 - 44 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
3469,1,1,1,1,1,0,0,1,4,2,1,5,4,1,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3470,0,1,1,2,1,0,0,0,3,3,1,3,3,1,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
3471,0,0,2,2,1,0,0,0,4,1,1,4,4,1,55 - 64 Years,< 12 Years,Male,,,Non-MSA
3472,0,0,1,1,1,0,0,0,5,2,2,5,2,2,55 - 64 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
3473,0,1,1,,,0,0,0,3,4,1,5,2,1,65+ Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3474,0,1,2,1,0,0,0,0,4,2,2,5,4,1,65+ Years,12 Years,Male,,Not in Labor Force,Non-MSA
3477,0,0,2,1,0,0,0,0,3,2,2,3,2,1,35 - 44 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3479,0,0,1,2,1,0,0,0,3,1,1,3,1,1,45 - 54 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
3480,0,1,1,2,1,0,0,1,5,1,1,4,1,4,65+ Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3481,1,1,2,2,1,0,0,1,3,3,1,,,1,55 - 64 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
3482,0,1,1,1,0,0,0,0,4,1,2,2,4,2,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
3483,0,1,2,,1,0,1,,,,,,,,45 - 54 Years,,Male,,,Non-MSA
3484,0,0,1,2,0,0,0,0,3,2,1,4,1,1,18 - 34 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Principle City"
3485,0,0,0,0,0,0,0,1,1,1,5,1,1,4,65+ Years,Some College,Male,,Not in Labor Force,"MSA, Principle City"
3486,0,0,1,1,1,0,0,0,4,2,1,4,2,1,18 - 34 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3487,0,0,2,1,1,0,1,,1,1,4,4,1,1,45 - 54 Years,,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
3490,0,0,1,1,0,0,0,1,5,4,2,5,4,2,55 - 64 Years,College Graduate,Male,,Not in Labor Force,Non-MSA
3491,1,1,0,1,0,0,0,0,5,4,1,5,4,1,35 - 44 Years,College Graduate,Male,Below Poverty,Unemployed,"MSA, Not Principle  City"
3492,0,0,0,0,1,0,0,0,3,1,1,4,1,1,18 - 34 Years,< 12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3493,0,1,2,2,1,0,0,0,5,1,1,5,4,1,35 - 44 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
3494,0,0,2,1,1,0,0,0,5,2,1,5,2,1,45 - 54 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
3496,0,0,1,1,1,0,0,1,1,2,5,4,2,4,65+ Years,12 Years,Male,,Employed,Non-MSA
3497,0,0,2,1,1,0,0,1,4,4,1,4,1,1,55 - 64 Years,College Graduate,Female,Below Poverty,Unemployed,"MSA, Principle City"
3499,0,0,1,1,1,0,0,0,3,2,2,5,4,2,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3503,0,0,0,0,0,0,0,1,2,2,2,2,1,2,55 - 64 Years,12 Years,Male,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
3505,1,0,1,0,1,0,1,1,3,1,4,4,1,2,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3506,0,1,1,0,0,0,0,1,5,3,4,5,3,2,65+ Years,< 12 Years,Male,Below Poverty,Not in Labor Force,"MSA, Principle City"
3508,0,1,1,0,,0,0,1,3,1,1,3,1,1,65+ Years,12 Years,Female,,Not in Labor Force,"MSA, Not Principle  City"
3510,0,1,3,2,1,0,0,0,4,4,4,4,4,1,45 - 54 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3511,0,1,3,2,1,0,0,0,4,2,4,4,2,4,45 - 54 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3512,0,1,2,2,1,0,0,0,4,2,2,5,5,5,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3514,0,1,1,1,0,0,0,0,5,2,1,5,4,2,65+ Years,12 Years,Male,Below Poverty,Not in Labor Force,"MSA, Principle City"
3515,1,1,3,1,0,0,0,1,5,5,5,5,5,4,65+ Years,Some College,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3516,1,1,3,1,1,0,0,0,4,4,4,4,4,4,55 - 64 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
3517,0,0,3,1,1,0,0,0,4,4,4,4,4,4,18 - 34 Years,12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
3518,1,1,3,2,1,0,0,1,5,4,1,5,4,1,55 - 64 Years,College Graduate,Female,"> $75,000",Not in Labor Force,Non-MSA
3519,1,0,1,1,1,0,0,0,4,4,2,2,2,2,45 - 54 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
3522,1,1,1,1,0,0,0,0,4,2,1,4,2,1,55 - 64 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3524,0,1,0,1,0,0,1,0,5,1,1,3,4,2,55 - 64 Years,College Graduate,Male,Below Poverty,Employed,"MSA, Not Principle  City"
3525,0,1,1,1,0,0,0,0,4,2,2,5,2,4,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3526,0,1,2,1,1,0,0,,4,2,2,3,,,35 - 44 Years,,Female,,,"MSA, Principle City"
3527,1,0,3,2,1,0,1,1,3,4,4,4,4,2,65+ Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
3528,0,1,1,2,0,0,0,0,4,2,2,4,4,2,18 - 34 Years,College Graduate,Female,"> $75,000",Employed,Non-MSA
3529,0,1,1,2,1,0,0,0,2,1,1,2,1,1,45 - 54 Years,Some College,Female,,Employed,Non-MSA
3530,0,0,2,1,1,0,1,0,4,2,2,4,4,4,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
3531,0,1,1,0,0,0,0,0,3,1,1,4,1,1,65+ Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3535,1,1,1,1,0,0,1,0,5,5,1,5,2,2,18 - 34 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3537,0,1,2,2,1,0,1,0,5,4,4,5,2,5,35 - 44 Years,Some College,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
3538,0,0,1,2,0,0,0,0,4,1,1,2,1,1,45 - 54 Years,College Graduate,Male,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
3539,0,0,1,2,1,0,0,0,4,2,1,5,2,1,45 - 54 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
3540,0,0,1,1,1,0,0,,3,3,,,,,65+ Years,,Male,,,Non-MSA
3542,0,0,2,1,1,0,0,0,5,4,4,5,4,4,55 - 64 Years,Some College,Male,"<= $75,000, Above Poverty",Unemployed,"MSA, Not Principle  City"
3543,0,1,2,2,1,0,0,0,4,2,1,1,1,1,65+ Years,Some College,Male,,Employed,"MSA, Principle City"
3544,0,0,2,1,1,0,0,0,2,2,1,1,2,4,18 - 34 Years,College Graduate,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
3545,0,0,0,2,0,0,0,0,4,1,1,2,1,4,65+ Years,12 Years,Female,,Not in Labor Force,Non-MSA
3546,1,1,2,1,0,0,0,0,4,2,1,4,2,2,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
3548,0,0,2,2,1,0,0,0,4,2,4,4,2,1,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3549,0,0,2,1,1,0,0,1,4,4,4,4,2,4,35 - 44 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3550,0,1,2,1,0,0,0,0,3,1,1,4,4,1,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3551,0,1,0,2,1,0,0,0,4,2,1,5,1,1,18 - 34 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
3554,0,1,2,1,1,0,0,,5,2,4,5,4,1,18 - 34 Years,Some College,Female,,Not in Labor Force,"MSA, Not Principle  City"
3557,0,0,2,0,1,0,0,0,3,1,1,1,1,1,18 - 34 Years,Some College,Female,"> $75,000",Employed,Non-MSA
3558,1,1,1,2,0,0,0,1,5,2,2,5,2,1,45 - 54 Years,12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
3559,0,0,1,1,1,0,0,0,4,1,1,4,1,1,55 - 64 Years,12 Years,Male,"> $75,000",Employed,"MSA, Principle City"
3561,0,0,1,1,1,0,0,0,2,1,1,4,1,1,35 - 44 Years,Some College,Female,Below Poverty,Employed,Non-MSA
3563,1,1,1,2,1,0,0,0,3,4,2,5,5,1,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3564,0,0,2,1,1,0,0,0,5,2,2,5,2,1,45 - 54 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3565,0,0,2,1,0,0,0,0,2,1,2,4,1,2,65+ Years,College Graduate,Female,,,"MSA, Not Principle  City"
3566,0,0,2,1,1,0,0,1,4,2,2,4,5,2,45 - 54 Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
3567,0,0,2,2,1,0,0,0,4,1,2,4,1,1,55 - 64 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
3568,0,0,1,2,1,0,0,0,4,2,2,4,2,2,18 - 34 Years,12 Years,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3569,0,1,2,2,1,0,0,0,4,2,1,5,2,1,55 - 64 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3571,0,0,1,0,0,0,1,1,1,1,5,5,2,5,65+ Years,< 12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
3572,0,0,1,1,1,0,0,0,4,2,1,4,2,1,35 - 44 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3575,0,1,3,1,1,0,0,1,4,2,2,4,4,1,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3577,0,1,0,2,1,0,0,1,5,1,1,5,4,1,55 - 64 Years,College Graduate,Male,,Employed,"MSA, Principle City"
3578,1,1,3,1,0,0,0,0,5,4,4,5,4,2,55 - 64 Years,12 Years,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
3581,0,0,2,1,1,0,0,0,4,2,4,4,2,2,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
3582,0,1,1,2,1,0,0,0,5,4,2,4,4,4,35 - 44 Years,College Graduate,Female,Below Poverty,Employed,"MSA, Principle City"
3583,0,0,2,0,1,0,0,0,4,2,2,5,2,2,65+ Years,Some College,Male,,Not in Labor Force,Non-MSA
3584,0,0,2,2,1,0,0,0,4,4,2,4,4,2,18 - 34 Years,< 12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Principle City"
3585,0,0,1,1,1,0,0,0,3,2,2,5,1,1,65+ Years,Some College,Female,,Not in Labor Force,Non-MSA
3587,1,1,2,1,0,0,0,1,5,2,1,4,4,1,55 - 64 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
3589,1,1,2,1,1,0,0,0,5,,1,5,,4,65+ Years,College Graduate,Female,,,"MSA, Principle City"
3590,1,0,3,2,1,0,0,1,5,4,1,5,5,1,45 - 54 Years,< 12 Years,Female,Below Poverty,Not in Labor Force,Non-MSA
3591,1,0,2,2,0,0,0,0,5,5,4,4,2,4,35 - 44 Years,Some College,Male,"> $75,000",Employed,"MSA, Not Principle  City"
3592,0,0,1,1,0,0,0,1,3,3,1,2,3,1,55 - 64 Years,12 Years,Female,,Employed,Non-MSA
3593,0,0,2,1,0,0,0,0,5,2,2,4,2,4,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Unemployed,"MSA, Not Principle  City"
3594,0,0,2,1,1,0,0,0,4,2,4,4,2,4,18 - 34 Years,Some College,Male,"<= $75,000, Above Poverty",Unemployed,"MSA, Not Principle  City"
3596,0,0,1,1,0,0,0,,3,1,1,4,1,1,55 - 64 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
3597,0,0,2,0,1,0,0,0,1,1,1,1,1,1,45 - 54 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3598,0,0,1,2,1,0,0,0,5,2,2,4,2,4,65+ Years,,Male,,Not in Labor Force,"MSA, Not Principle  City"
3599,0,1,2,2,1,0,1,0,4,2,1,5,2,1,55 - 64 Years,Some College,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3603,0,0,0,1,0,0,0,0,3,2,2,3,2,2,35 - 44 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3604,0,1,0,2,1,0,1,0,4,2,1,5,2,1,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3605,0,1,3,1,1,0,0,0,5,2,4,4,1,2,65+ Years,12 Years,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3606,1,1,2,2,1,0,0,0,4,2,4,5,2,1,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3607,0,0,1,2,1,0,0,0,4,1,1,4,1,1,35 - 44 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
3610,0,0,2,1,1,0,0,0,3,2,2,3,2,2,35 - 44 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
3611,0,1,2,1,0,0,0,0,3,3,2,5,4,4,55 - 64 Years,,Female,,Not in Labor Force,"MSA, Principle City"
3615,0,0,1,2,1,0,0,1,4,2,2,4,2,2,65+ Years,Some College,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3616,0,0,1,1,0,0,0,0,4,1,1,5,1,4,18 - 34 Years,Some College,Male,"> $75,000",Employed,Non-MSA
3622,0,0,1,1,1,0,0,0,3,2,2,4,2,1,35 - 44 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
3623,0,0,2,1,1,0,1,1,4,2,2,4,1,1,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3625,0,0,2,1,1,0,0,0,4,2,1,1,2,1,18 - 34 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
3626,0,1,3,0,1,0,0,,3,3,1,5,3,1,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
3627,1,1,2,1,1,0,0,0,5,2,2,4,2,2,55 - 64 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
3628,0,1,3,1,0,0,1,0,3,5,2,5,4,1,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3629,0,0,3,2,1,0,1,0,3,5,5,3,2,2,35 - 44 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
3630,0,1,0,1,1,0,0,0,3,1,1,5,4,1,65+ Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3632,0,0,1,1,0,0,1,1,4,2,5,5,2,5,18 - 34 Years,< 12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Principle City"
3633,0,0,0,2,0,0,0,0,3,1,1,3,2,1,45 - 54 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3634,0,1,1,1,0,0,0,0,5,1,1,5,2,1,18 - 34 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
3635,0,1,1,2,1,0,0,1,4,4,2,4,5,2,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3638,0,1,1,2,0,0,0,0,4,2,2,5,4,4,65+ Years,College Graduate,Male,"> $75,000",Not in Labor Force,"MSA, Principle City"
3639,0,0,1,1,0,0,0,0,4,2,2,4,2,1,55 - 64 Years,Some College,Female,"> $75,000",Employed,"MSA, Principle City"
3640,0,1,2,1,1,0,0,0,3,2,1,4,2,1,45 - 54 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
3642,0,0,0,2,1,0,0,0,5,1,1,5,1,1,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
3645,0,1,1,2,1,0,1,0,4,2,4,5,4,2,55 - 64 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3646,0,0,0,2,0,0,0,0,4,5,1,4,4,4,18 - 34 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
3649,1,1,2,2,1,0,0,1,4,5,4,4,5,4,35 - 44 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
3650,1,1,0,1,0,0,0,0,5,1,1,4,2,1,18 - 34 Years,Some College,Male,,Employed,Non-MSA
3651,0,0,2,1,0,0,0,0,4,2,2,4,5,2,55 - 64 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
3652,0,0,1,2,1,0,1,0,4,2,1,4,4,2,35 - 44 Years,College Graduate,Male,"> $75,000",Employed,Non-MSA
3655,0,0,2,1,1,0,1,0,5,2,4,4,4,2,18 - 34 Years,12 Years,Female,Below Poverty,Unemployed,"MSA, Principle City"
3656,0,0,1,1,1,0,0,1,5,2,1,5,4,1,45 - 54 Years,12 Years,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3659,1,1,1,2,1,0,0,0,3,2,1,3,2,1,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
3660,0,1,1,1,1,0,1,0,5,2,1,5,1,2,65+ Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
3661,0,0,1,1,0,0,0,0,2,1,2,2,1,2,45 - 54 Years,College Graduate,Male,,Employed,"MSA, Principle City"
3662,1,1,1,2,0,0,0,1,5,2,1,4,2,1,55 - 64 Years,College Graduate,Male,Below Poverty,Employed,"MSA, Not Principle  City"
3663,0,0,3,0,0,0,0,0,5,3,5,2,4,5,18 - 34 Years,,Female,,,Non-MSA
3665,0,1,2,0,0,0,0,0,3,3,2,3,3,2,55 - 64 Years,College Graduate,Female,"> $75,000",Not in Labor Force,Non-MSA
3668,0,1,3,1,1,0,0,0,4,4,5,5,5,1,65+ Years,Some College,Male,"> $75,000",Unemployed,"MSA, Not Principle  City"
3669,0,0,1,1,1,0,0,0,4,1,1,4,2,1,55 - 64 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
3670,0,0,0,2,1,0,0,0,3,2,1,4,2,2,18 - 34 Years,Some College,Female,"> $75,000",Employed,"MSA, Not Principle  City"
3671,0,0,1,1,0,0,1,1,4,2,2,4,2,2,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
3672,0,1,2,1,1,0,0,0,4,2,4,4,4,2,18 - 34 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
