respondent_id,h1n1_vaccine,seasonal_vaccine,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,behavioral_outside_home,chronic_med_condition,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,sex,income_poverty,employment_status
11539,0,1,2,1,0,0,0,0,4,2,2,4,4,4,2,3,0,1,2
11540,0,1,3,1,1,0,0,1,3,1,4,5,5,1,4,1,1,,2
11542,0,0,3,0,1,0,0,0,4,4,4,4,4,2,1,3,0,2,1
11546,1,1,2,1,1,0,1,0,5,2,2,5,2,2,3,3,0,2,1
11547,0,0,1,0,1,0,1,0,5,4,5,1,1,4,4,0,1,,2
11548,0,0,0,0,1,0,0,1,5,1,1,5,1,1,2,2,0,1,2
11551,0,1,2,1,1,0,0,0,5,2,1,4,2,1,4,2,0,1,2
11552,1,0,3,2,0,0,0,1,5,2,1,4,2,1,4,1,0,1,2
11553,0,1,2,1,0,0,0,0,4,2,2,4,2,2,2,2,1,1,1
11555,0,1,2,2,1,0,0,0,5,2,2,5,4,1,2,3,1,2,1
11560,1,1,2,2,1,0,1,0,5,2,2,5,4,2,3,2,0,1,1
11564,0,1,2,1,0,0,0,0,3,3,4,4,4,4,4,2,0,1,2
11565,0,0,0,1,1,0,0,0,4,1,1,4,4,1,0,3,1,2,1
11567,0,0,0,2,0,0,0,1,4,4,1,4,4,1,0,,1,,
11568,1,1,2,2,1,0,0,1,5,4,4,5,4,4,4,3,0,1,2
11569,0,0,2,1,1,0,0,0,3,1,2,4,1,1,0,,1,,
11571,0,0,2,2,1,0,0,1,2,2,2,2,2,2,2,3,1,2,2
11572,0,1,2,2,1,0,0,0,4,2,1,4,2,2,2,3,0,1,1
11573,1,0,2,2,1,0,0,0,5,5,5,5,2,2,0,2,0,2,2
11574,1,1,2,2,1,0,0,0,4,4,2,4,4,2,0,3,0,2,1
11576,0,1,1,1,1,0,0,0,4,1,1,5,4,1,3,3,0,2,1
11577,0,0,0,2,0,0,0,1,3,1,1,4,1,1,3,3,0,1,2
11578,0,1,1,1,0,0,0,0,4,1,1,4,,1,4,3,0,1,2
11580,0,1,2,2,0,0,0,0,5,2,1,5,2,1,3,3,1,1,1
11585,0,0,2,2,0,0,0,0,1,1,1,4,1,1,2,2,1,1,1
11587,0,0,1,2,1,0,0,0,4,2,2,4,2,2,3,2,1,1,1
11588,0,0,2,2,1,0,0,0,5,2,1,4,2,1,3,3,1,2,2
11590,0,1,1,2,1,0,0,,4,1,1,5,1,2,0,3,1,2,1
11591,0,0,0,2,0,0,0,0,5,4,5,5,5,5,1,3,1,,1
11593,0,0,0,1,0,0,0,0,4,1,1,2,1,1,3,3,0,2,1
11594,0,0,2,1,1,0,0,1,3,2,1,4,4,2,2,3,0,1,1
11598,0,1,2,2,1,0,0,0,4,2,4,5,4,4,1,3,0,1,1
11599,0,1,1,2,1,0,0,1,4,1,2,4,4,1,4,0,1,1,2
11600,0,1,1,2,0,0,0,1,3,1,3,5,1,1,4,3,1,1,2
11601,0,0,1,1,1,0,0,0,4,2,2,4,2,2,0,2,0,1,2
11602,0,0,3,1,1,0,0,0,4,2,4,4,2,4,0,2,1,1,1
11603,0,0,2,2,1,0,0,0,4,2,1,4,2,1,2,3,1,2,2
11604,1,1,1,2,1,0,0,0,5,2,2,5,4,2,0,3,1,1,1
11605,0,1,1,2,1,0,0,0,4,4,1,5,4,1,4,3,1,1,1
11606,0,1,2,2,0,0,0,0,5,1,2,5,4,1,3,3,0,2,2
11607,1,1,1,2,1,0,0,0,5,1,1,5,5,1,3,2,1,1,1
11610,0,0,2,2,0,0,0,1,4,1,2,2,1,1,4,0,1,1,2
11611,0,1,1,1,1,0,0,1,5,4,2,5,4,2,2,1,0,2,1
11612,0,1,2,1,1,0,0,0,2,2,2,4,2,2,1,2,0,1,1
11613,0,0,1,0,0,0,0,0,2,1,2,1,1,1,4,0,1,,1
11614,0,0,1,1,0,0,0,0,4,1,2,4,1,1,1,3,0,,1
11615,0,0,1,0,0,0,0,0,4,4,4,4,1,4,4,1,0,2,1
11617,1,1,1,1,1,0,0,1,3,2,4,5,5,1,4,1,0,0,2
11619,0,1,1,1,0,0,0,0,5,2,1,5,1,1,3,3,0,2,1
11621,0,1,0,2,0,0,0,0,4,1,1,5,2,1,0,3,0,2,1
11624,0,0,2,1,1,0,1,0,4,3,2,4,4,4,3,0,0,0,1
11627,0,0,1,2,1,0,1,0,4,2,1,4,2,1,2,,1,2,1
11629,0,0,2,1,1,0,0,1,4,2,2,5,2,2,3,2,1,1,1
11632,0,1,2,2,1,0,0,0,4,4,1,5,4,4,4,1,1,1,1
11634,1,1,1,2,0,0,0,0,5,1,1,2,1,1,2,3,0,2,1
11635,1,1,3,1,1,0,0,0,5,4,4,5,4,4,4,3,0,1,2
11636,0,0,1,1,0,0,0,0,4,2,2,4,2,2,0,3,1,1,1
11638,0,1,1,1,1,0,0,0,3,1,2,4,4,2,4,3,1,1,2
11639,0,0,0,2,0,0,0,0,1,1,5,1,2,5,3,3,0,2,1
7501,0,1,3,1,1,,1,1,,4,4,4,4,2,4,2,1,,2
11640,0,1,2,1,1,0,1,0,3,2,2,4,2,1,1,2,0,1,1
11641,1,1,3,2,1,0,0,0,5,5,4,5,5,4,2,2,0,2,1
11642,0,1,2,1,0,0,0,0,5,1,2,4,2,2,4,2,0,1,2
11643,1,0,1,1,1,0,0,0,4,4,2,5,2,2,1,3,1,,2
11644,0,0,1,1,1,0,0,0,2,1,2,2,1,1,2,2,0,1,1
11645,0,1,1,0,1,0,0,1,3,2,2,5,5,1,4,1,1,0,2
11646,1,1,2,2,1,0,0,1,5,4,4,4,4,1,4,2,1,1,2
11647,0,1,1,0,0,0,0,0,4,2,2,3,2,2,4,0,0,,2
11649,0,1,1,1,0,0,0,0,5,1,2,5,5,1,0,1,0,1,1
11653,0,1,1,1,1,0,0,0,4,2,1,5,4,1,4,3,1,1,2
11654,0,1,2,2,1,0,0,0,,5,4,5,4,4,2,2,1,1,1
11655,0,0,2,1,0,0,0,0,5,2,2,4,1,2,4,1,0,1,2
11656,0,0,0,1,1,0,1,0,2,1,1,1,1,1,4,1,1,1,2
11659,0,1,2,1,0,0,0,0,4,2,2,5,4,2,2,1,0,1,1
11662,0,0,0,1,0,0,0,0,4,1,1,4,1,1,0,2,0,1,1
11663,0,0,2,1,1,0,1,0,4,4,4,4,4,4,0,1,0,1,1
11664,1,1,2,1,1,0,0,0,5,4,4,5,4,1,2,3,1,2,1
11665,0,0,0,0,1,0,0,0,1,1,1,1,1,1,2,1,0,1,0
11666,0,0,1,1,1,0,0,0,2,4,1,4,4,2,4,0,1,1,2
11667,0,0,1,1,0,0,0,,4,2,2,2,2,2,0,,1,,
11669,0,1,2,2,1,0,0,0,5,4,1,5,4,1,3,3,0,2,1
11670,0,0,1,1,0,0,0,0,4,2,2,4,2,2,1,2,1,1,1
11671,0,1,1,2,1,0,0,0,4,2,2,5,4,1,4,3,1,2,1
11673,0,0,2,2,0,0,1,0,5,2,4,5,1,4,0,1,1,0,0
11674,0,0,1,0,0,0,0,0,4,2,1,4,2,1,0,2,1,0,1
11676,0,1,1,1,0,0,0,1,4,2,2,5,4,4,4,3,1,1,2
11677,0,1,2,1,1,0,1,0,3,3,4,4,3,2,0,3,1,2,1
11678,0,0,2,2,0,0,0,0,4,4,4,4,5,1,2,2,0,1,1
11679,0,0,1,1,0,0,0,0,5,1,2,4,2,2,0,3,0,2,1
11683,0,1,2,1,1,0,0,0,4,2,4,5,1,4,4,3,1,1,2
11685,0,1,0,2,0,0,0,0,4,1,1,5,4,4,3,3,1,2,1
11687,0,1,1,2,0,0,0,0,2,4,4,4,2,1,0,0,0,1,1
11692,1,1,2,2,1,0,1,0,4,1,1,4,2,1,3,3,1,1,1
11695,0,1,2,2,1,0,0,0,5,1,2,5,2,1,4,1,1,1,2
11697,0,0,2,2,1,0,0,0,3,1,4,5,1,1,2,2,1,1,1
11698,1,0,0,1,1,0,0,1,5,2,1,5,4,1,4,3,1,1,1
11699,0,0,1,2,1,0,0,0,4,1,5,4,1,5,0,0,1,0,2
11700,1,1,1,2,1,0,0,1,5,2,1,4,4,1,0,3,0,2,1
11701,0,0,1,1,0,0,0,0,3,1,3,2,1,4,3,3,1,,1
11702,1,1,1,2,1,0,0,1,4,2,2,4,4,2,4,2,1,1,1
11703,0,0,1,2,1,0,0,1,5,2,2,5,2,2,1,3,0,2,1
11704,0,0,1,1,1,0,0,1,4,2,2,2,1,2,2,2,1,1,1
11707,0,0,1,1,0,0,0,0,3,1,2,4,1,2,2,3,0,1,1
11709,1,1,2,2,1,0,0,0,5,2,4,5,2,2,1,2,1,2,2
11710,0,0,1,2,0,0,0,1,4,4,2,4,2,5,2,3,1,1,1
11711,1,0,1,1,0,0,0,0,4,2,2,4,2,2,0,3,0,1,1
11714,0,0,1,1,1,0,1,,2,1,1,4,1,,0,,0,,
11716,1,1,3,1,1,0,0,0,5,4,5,5,4,4,0,2,1,0,2
11717,0,0,0,1,0,0,0,0,5,1,1,5,1,1,0,3,0,,0
11718,0,0,2,1,1,0,0,1,5,2,5,5,4,5,0,2,1,1,0
11720,0,1,2,2,1,0,1,1,5,3,2,5,4,4,4,0,1,1,2
11721,1,1,3,2,1,0,0,0,5,5,1,5,4,1,3,3,1,2,1
11722,0,0,0,1,0,0,0,,3,1,1,3,1,,3,,0,,
11723,1,1,2,2,1,0,1,0,4,4,4,4,4,4,4,2,1,1,2
11724,0,0,2,2,0,0,0,0,5,2,2,4,2,2,2,3,1,2,1
11726,0,0,1,1,0,0,0,0,3,1,4,3,1,4,3,3,1,,2
11728,0,1,2,1,1,0,0,0,4,4,1,5,4,1,4,3,1,,2
11729,0,0,1,1,1,0,0,0,3,1,2,4,2,2,3,3,1,2,2
11730,0,1,0,2,1,0,1,1,4,1,1,5,4,4,3,2,0,1,1
11731,0,1,1,2,0,0,0,1,4,1,1,4,2,2,1,1,0,2,1
11735,0,0,1,1,1,0,0,0,4,2,1,2,4,1,0,2,1,1,2
11736,1,1,2,2,1,0,0,1,5,2,4,4,2,2,3,3,1,,1
11737,0,1,1,1,0,0,0,1,4,1,1,4,1,1,3,2,1,,2
11740,0,0,1,1,0,0,0,1,5,2,1,2,1,1,3,3,0,1,2
11744,0,0,0,0,0,0,0,0,3,1,5,3,1,5,1,3,1,,1
11745,0,1,2,1,0,0,0,0,4,2,2,4,2,2,0,1,1,1,1
11746,0,1,3,0,0,0,0,1,1,1,4,5,5,4,2,2,1,0,2
11747,0,1,1,1,1,0,0,1,4,2,2,4,2,2,2,3,1,2,2
11749,0,0,1,1,1,0,0,0,1,1,5,4,2,2,0,1,0,1,0
11751,1,1,0,1,0,0,0,0,4,2,4,4,2,4,1,3,1,2,1
11752,1,1,2,2,1,0,1,1,5,4,2,5,4,2,4,2,1,1,2
11754,0,0,1,2,1,0,0,0,4,4,2,5,4,2,1,3,0,1,1
11756,0,1,1,1,1,0,0,0,4,2,1,5,2,1,4,3,0,2,2
11757,0,0,2,1,1,0,0,,3,2,2,4,2,2,1,,0,,
11758,0,0,2,1,0,0,0,0,4,2,2,4,2,2,3,2,0,1,1
11759,1,1,3,1,1,0,0,0,4,1,1,4,2,1,4,3,0,1,1
11761,0,0,1,1,0,0,0,,3,2,1,4,2,,4,,1,,
11762,0,0,0,0,1,0,0,0,4,1,1,4,1,1,1,2,0,1,1
11763,1,0,2,1,1,0,0,1,4,2,4,4,4,4,4,2,0,,2
11765,0,0,1,2,1,0,0,0,4,2,2,4,2,2,2,2,1,1,1
11767,0,0,1,1,0,0,0,1,4,1,1,4,2,2,3,3,0,1,1
11768,0,0,2,1,1,0,0,0,5,1,2,5,2,2,0,3,0,1,2
11771,0,1,1,2,1,0,0,1,2,1,5,5,5,1,3,2,1,1,2
11773,0,0,1,1,1,0,0,0,5,2,2,5,4,2,0,0,0,0,1
11775,0,1,2,1,1,0,1,0,3,3,1,3,2,1,2,3,1,,1
11776,1,1,1,2,1,0,0,0,5,2,2,5,4,2,3,3,0,2,1
11777,0,0,1,2,1,0,0,1,4,4,4,4,4,4,2,3,1,2,1
11779,0,0,2,1,1,0,0,0,4,1,2,5,2,4,2,1,1,2,1
11780,0,0,1,1,1,0,1,0,4,2,1,5,1,2,1,0,0,1,0
11783,0,0,2,1,1,0,0,0,3,2,4,2,4,2,0,3,1,1,1
11784,1,1,3,1,1,0,0,1,3,3,2,3,3,2,4,3,1,2,1
11786,0,1,2,2,0,0,0,0,5,2,1,5,2,2,4,2,0,1,2
11787,1,0,1,2,1,0,0,0,5,2,1,4,2,1,0,3,0,2,1
11788,0,0,0,1,0,0,0,0,3,1,1,3,1,1,3,3,0,2,1
11791,1,1,3,1,1,0,1,0,5,4,5,5,4,5,3,1,1,,1
11792,0,0,2,2,1,0,0,0,3,2,2,4,2,4,1,3,1,2,1
11793,1,0,1,1,1,0,0,0,4,1,1,2,1,1,4,3,0,2,1
11794,0,0,1,2,1,0,0,0,2,1,1,4,2,2,2,2,0,1,1
11796,0,1,1,1,0,0,0,0,4,1,1,4,2,2,4,2,1,1,2
11797,0,0,1,1,0,0,0,0,4,1,1,4,1,1,4,3,1,1,2
11798,0,1,2,2,1,0,0,1,5,4,4,5,5,1,4,3,1,1,1
11799,1,1,1,2,0,0,0,0,3,3,1,5,5,1,0,3,0,1,1
11801,0,1,1,2,1,0,0,1,4,1,2,5,1,2,1,,0,,
11802,0,0,1,1,1,0,1,0,4,2,2,4,2,1,0,1,0,,1
11803,0,1,3,2,1,0,0,0,4,1,1,4,2,1,2,3,0,2,1
11806,0,1,2,1,0,0,0,0,2,2,2,4,5,2,3,2,1,1,2
11807,0,1,1,1,1,0,0,1,3,3,4,5,3,1,4,3,1,1,2
11808,0,0,2,1,0,0,0,0,2,2,2,2,2,2,4,1,1,0,0
11810,0,0,2,2,1,0,0,1,4,2,4,4,2,1,1,3,0,1,1
11811,0,0,1,0,1,0,0,1,3,2,2,4,2,2,4,2,1,1,2
11812,1,1,2,2,0,0,0,0,5,4,4,5,4,2,3,3,1,2,1
11815,0,0,1,1,1,0,0,0,3,1,2,4,1,1,0,2,0,1,1
11816,0,1,3,2,1,0,0,1,3,4,4,3,5,2,3,1,1,1,1
11818,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
11819,0,1,2,1,1,0,0,0,4,4,2,5,4,1,1,3,1,1,1
11820,1,1,2,1,1,0,0,1,3,4,1,5,5,1,4,1,1,1,2
11824,0,0,1,2,1,0,0,0,2,2,2,2,1,2,2,3,1,2,1
11826,0,0,1,2,1,0,1,0,4,4,1,4,2,1,0,3,1,2,1
11827,0,1,2,2,1,0,0,0,2,2,1,2,2,2,3,2,1,,1
11830,0,1,2,2,1,0,0,0,5,2,1,4,1,1,1,3,1,1,1
11831,0,0,3,2,1,0,1,0,4,2,5,5,4,4,1,1,0,0,0
11832,0,1,0,0,0,0,0,,1,3,4,4,3,2,4,,1,,
11833,0,0,0,1,0,0,0,0,2,1,1,2,1,1,0,2,0,2,2
11834,0,0,2,2,1,0,0,1,4,4,4,4,2,4,1,3,1,2,1
11835,0,0,2,2,1,0,0,0,3,1,1,2,1,4,1,1,1,,1
11837,1,1,0,1,1,0,0,1,4,2,2,4,2,2,4,1,1,,2
11839,0,0,1,1,0,0,0,1,4,1,1,4,1,1,3,1,0,1,2
11840,0,0,3,1,1,0,0,0,4,2,1,4,2,2,1,3,1,2,1
11841,0,1,2,0,0,0,0,1,3,1,1,5,4,2,4,0,0,1,2
11842,0,0,2,1,1,0,0,0,5,2,2,5,2,2,2,1,1,1,1
11845,1,1,2,2,1,0,1,0,5,4,4,4,2,2,3,3,1,,2
11846,0,0,2,1,1,0,0,0,4,2,2,4,1,1,0,2,1,0,2
11848,0,1,2,1,0,0,0,1,4,4,4,5,4,1,2,2,1,1,1
11849,0,0,0,2,0,0,0,0,2,1,1,2,1,1,1,3,0,2,1
11850,0,0,0,1,1,0,0,0,4,2,2,4,2,2,0,0,0,2,0
11852,0,0,2,2,1,0,0,0,4,1,2,4,2,2,0,3,1,2,1
11853,0,1,1,2,1,0,0,1,4,4,2,2,1,1,2,3,0,1,1
11854,0,1,1,2,1,0,1,1,3,1,1,5,4,2,4,3,0,2,1
11857,0,0,2,1,1,0,0,0,4,1,1,4,1,1,0,1,0,0,1
11858,0,0,2,1,1,0,1,0,5,4,2,5,2,1,0,3,0,1,1
11859,0,0,0,1,0,0,0,0,3,1,1,1,2,5,0,2,0,1,1
11862,0,0,2,2,1,0,0,,4,5,2,4,1,2,1,,1,,
11864,0,0,1,1,1,0,0,0,4,2,2,4,2,1,1,2,0,1,1
11865,1,1,0,2,0,0,0,1,5,1,1,5,2,1,4,3,0,2,1
11868,0,1,2,1,1,0,0,0,5,4,4,5,5,4,2,1,1,2,2
11869,0,1,2,1,1,0,0,1,5,4,4,4,4,4,4,2,1,1,2
11874,0,0,2,1,1,0,0,0,4,,2,4,,2,2,3,1,2,1
11875,0,1,0,2,0,0,0,1,1,1,5,4,1,1,1,2,0,2,1
11877,0,1,0,2,0,0,0,0,5,1,1,5,1,1,0,1,1,1,2
11879,0,0,1,2,1,0,0,0,4,1,1,4,1,5,0,2,0,1,1
11880,0,1,1,1,1,0,0,1,4,2,2,4,4,1,4,1,1,1,2
11881,0,0,1,0,0,0,1,0,4,2,2,4,2,2,0,1,0,,1
11882,0,0,1,1,1,0,0,0,3,2,2,4,1,1,0,3,0,1,1
11883,0,0,2,1,1,0,0,0,4,2,2,4,2,2,2,3,1,1,1
11885,0,0,0,1,1,0,0,0,3,1,4,4,2,2,1,2,1,1,1
11888,1,1,1,2,1,0,0,1,5,4,4,5,4,2,4,3,0,2,2
11890,0,0,3,1,0,0,1,0,4,2,1,4,1,1,4,1,0,1,1
11892,0,0,1,2,1,0,0,0,3,2,2,4,2,2,1,3,1,2,1
11894,0,0,2,1,1,0,0,1,3,4,5,4,3,2,3,0,1,0,2
11895,0,0,2,1,1,0,0,0,4,1,4,1,1,4,0,3,1,1,1
11896,0,0,2,2,0,0,0,0,2,2,2,2,1,4,1,3,1,,1
11897,1,1,,2,1,0,0,1,5,1,2,2,1,1,4,2,1,0,2
11899,0,1,1,1,0,0,0,0,5,4,2,4,4,1,3,1,1,1,1
11900,0,1,3,2,1,0,1,1,4,4,1,5,4,1,3,3,1,2,1
11901,1,1,3,2,1,0,0,0,5,4,1,4,4,1,3,2,1,2,1
11902,0,0,2,1,1,0,0,1,4,2,2,4,2,2,2,2,1,,2
11906,0,0,0,2,0,0,0,0,3,1,5,1,1,5,2,3,1,1,1
11908,0,0,2,2,0,0,0,1,4,2,1,5,2,2,4,3,1,,2
11909,0,0,1,2,1,0,0,0,2,2,2,2,2,2,3,3,1,1,1
11910,0,0,2,1,1,0,0,1,3,2,2,4,4,4,3,1,1,1,2
11911,0,0,2,2,1,0,0,0,4,4,4,2,4,4,0,3,1,2,1
11912,0,0,0,0,1,0,0,,3,1,,,,,0,,1,,
11913,0,0,1,2,1,0,1,0,4,2,2,4,1,2,2,1,1,1,1
11915,0,0,1,2,1,0,0,0,5,1,2,4,2,2,2,3,1,1,1
11917,0,0,0,1,1,0,0,0,4,1,5,5,2,2,1,0,0,0,1
11918,1,0,2,1,1,0,0,0,5,4,1,5,4,1,4,1,1,1,2
11919,0,1,0,2,1,0,1,1,3,2,2,5,1,1,4,1,1,,2
11920,0,0,2,1,1,0,1,0,3,1,2,4,4,1,1,1,1,,1
11921,0,1,2,2,1,0,0,1,5,4,1,5,4,1,1,3,0,2,0
11923,0,0,2,2,1,0,0,0,2,2,4,2,1,2,2,3,1,,0
11924,0,0,1,0,1,0,0,0,4,1,1,1,1,1,4,1,1,,2
11925,0,0,1,1,0,0,0,0,2,2,1,2,2,1,1,2,0,0,0
11928,0,0,1,1,0,0,0,0,3,1,1,4,1,1,3,3,0,2,1
11931,0,0,2,1,0,0,0,0,4,2,4,4,2,2,1,3,1,1,1
11934,0,0,1,1,1,0,0,0,4,2,4,2,4,5,0,2,1,0,1
11936,0,0,1,0,0,0,1,0,4,1,2,4,4,2,4,0,0,0,2
11937,0,0,0,1,0,0,0,0,4,1,4,4,1,1,2,2,1,1,1
11938,0,0,1,0,0,0,0,0,5,4,2,5,4,2,1,1,1,0,1
11942,0,1,2,2,1,0,0,0,4,4,4,5,5,1,0,3,1,1,1
11943,0,1,2,1,0,0,0,0,4,2,2,4,4,2,2,3,1,2,1
11944,1,1,1,2,1,0,0,0,5,4,2,4,4,1,4,3,1,1,2
11945,0,0,1,1,0,0,0,0,4,1,5,4,5,4,3,2,1,1,1
11946,1,1,2,2,0,0,0,1,4,2,1,5,4,2,3,1,0,2,1
11947,0,1,1,1,0,0,0,0,4,2,2,4,4,2,1,3,0,2,1
11948,0,0,0,2,0,0,0,0,3,1,4,4,1,4,1,2,0,1,0
11949,0,1,0,1,0,0,0,0,5,1,1,5,1,1,0,2,0,1,1
11951,0,1,2,1,1,0,1,0,4,1,1,5,4,1,4,1,0,1,2
11952,1,1,3,2,1,0,0,1,5,5,4,4,2,1,1,,1,,
11955,0,0,1,1,1,0,0,0,4,2,2,4,2,2,2,1,1,,2
11956,0,1,1,1,1,0,0,0,5,2,1,5,4,1,4,2,1,,2
11958,0,0,2,1,1,0,0,0,4,2,2,4,2,4,0,2,1,2,2
11959,1,1,2,1,0,0,0,0,4,2,2,5,4,4,2,3,1,1,1
11960,0,0,1,2,1,0,0,0,4,4,2,4,2,4,2,3,0,2,1
11961,0,1,1,1,1,0,0,0,4,2,2,5,4,2,3,1,0,1,1
11962,0,0,0,0,0,0,0,0,4,1,2,4,1,1,4,1,0,1,2
11963,0,1,2,0,1,0,0,0,4,4,4,5,5,4,0,0,0,0,2
11965,0,0,0,1,0,0,1,0,4,2,1,1,1,1,0,2,1,1,1
11966,0,1,0,1,1,0,0,0,4,2,1,5,4,1,3,2,1,1,2
11967,1,1,2,2,1,0,1,0,5,2,2,5,1,1,2,1,0,1,1
11968,0,0,1,2,1,0,0,0,3,1,4,2,1,2,2,3,0,2,1
11969,0,0,1,1,1,0,0,0,4,2,2,4,2,2,0,3,1,1,1
11971,1,0,1,2,1,0,0,1,5,5,4,5,1,1,0,2,0,1,1
11973,0,1,1,,1,0,0,0,3,1,1,4,4,1,4,3,1,1,2
11974,0,0,1,1,0,0,0,0,4,2,2,2,2,1,0,3,1,1,1
11977,1,1,0,2,0,0,0,0,1,1,1,4,5,1,3,0,0,1,1
11978,0,1,2,2,1,0,0,0,5,4,2,5,4,2,1,3,1,2,2
11980,0,0,1,1,1,0,0,0,4,1,2,4,2,2,0,1,1,1,2
11981,0,1,1,1,1,0,0,0,5,1,1,5,4,1,4,1,1,,2
11983,0,0,2,1,1,0,0,0,4,2,2,4,2,2,0,2,0,1,1
11984,0,0,0,1,0,0,0,1,3,1,4,3,1,4,3,3,0,2,1
11985,1,1,2,2,1,0,0,1,5,2,1,5,1,1,4,3,1,1,1
11986,0,0,2,1,1,0,0,0,3,2,1,3,1,1,3,0,1,1,2
11987,0,1,1,2,1,0,0,0,4,4,2,4,2,1,2,2,1,1,1
11988,0,0,1,1,1,0,0,0,1,1,4,2,1,4,2,2,0,,1
11989,1,1,2,2,0,0,0,1,5,5,1,5,5,1,2,,1,2,1
11990,1,1,2,0,1,0,0,1,4,1,1,1,1,1,4,3,1,1,2
11991,0,0,1,1,0,0,0,0,1,1,1,4,2,1,4,1,0,1,1
11992,1,0,2,2,1,0,1,0,5,1,2,4,1,1,3,2,1,2,2
11996,0,1,0,0,0,0,0,,3,,,,,,4,,1,,
11997,0,0,2,1,0,0,0,0,4,4,4,4,4,4,3,3,0,2,1
11998,0,0,2,1,0,0,0,0,4,2,4,4,2,2,1,2,0,1,1
11999,0,0,0,2,0,0,0,0,4,1,1,2,1,1,0,3,1,1,1
12001,1,1,3,2,0,0,0,0,5,4,1,5,4,1,3,3,0,2,1
12002,0,0,0,2,1,0,1,0,1,1,1,5,2,1,0,2,0,1,1
12003,0,0,2,1,0,0,0,0,4,2,2,2,4,4,0,2,1,1,1
12005,0,0,0,0,1,0,0,0,2,1,4,4,1,2,0,,0,,
12008,0,1,2,2,1,0,0,0,2,2,4,4,5,4,2,2,1,1,0
12009,0,1,3,1,1,0,0,0,1,2,2,2,4,1,0,2,0,1,1
12011,0,0,2,1,1,0,0,0,4,1,1,3,1,1,2,2,1,0,1
12013,0,0,0,2,0,0,0,0,4,1,1,4,2,2,1,,0,,
12014,0,1,1,2,1,0,1,1,3,1,1,5,2,1,4,1,0,1,2
12018,1,1,1,2,1,0,0,1,5,5,1,5,4,1,1,3,0,2,1
12019,0,0,3,2,1,0,0,0,4,2,1,4,2,1,4,0,1,,2
12022,0,0,2,1,1,0,0,0,2,2,4,4,4,4,0,1,0,,1
12030,0,0,2,1,1,0,0,0,3,2,2,2,2,2,2,2,0,1,1
12031,0,0,1,1,0,0,0,0,5,1,4,5,1,4,1,3,0,2,1
12033,0,0,0,2,1,0,0,0,5,2,4,4,2,2,2,3,1,1,2
12034,1,1,3,1,1,0,0,0,5,2,2,5,5,4,3,1,0,2,1
12035,0,0,1,1,1,0,0,0,4,2,2,4,2,2,0,3,0,1,1
12036,0,0,0,1,0,0,0,0,4,1,1,4,2,1,0,3,0,1,2
12037,0,0,2,1,1,0,0,0,4,4,4,4,4,4,0,0,1,0,1
12038,0,0,1,1,1,0,0,0,4,4,4,4,4,2,1,1,0,1,1
12039,0,1,1,2,1,0,0,0,4,2,1,4,2,1,1,3,0,2,1
12040,0,0,2,1,1,0,0,0,5,4,2,5,4,1,1,3,1,2,1
12041,0,1,2,2,0,0,0,0,4,4,2,5,4,1,3,3,0,2,2
12042,0,1,3,1,1,0,0,0,4,2,4,5,4,4,4,2,0,1,2
12044,1,1,0,1,1,0,1,1,5,5,2,5,5,2,3,3,1,1,2
12045,0,0,1,1,0,0,0,0,4,1,1,4,1,1,0,3,0,2,1
12046,0,0,2,1,0,0,0,0,4,2,2,4,2,1,3,1,1,2,2
12047,0,1,1,0,1,0,1,0,5,5,2,5,5,5,3,2,1,1,2
12053,0,1,2,2,0,0,0,0,4,2,4,5,4,4,3,2,1,2,1
12054,0,0,2,2,1,0,0,0,4,1,1,4,1,1,2,0,1,2,2
12057,1,1,2,2,1,0,0,1,4,4,4,4,4,2,0,3,1,1,1
12058,1,1,0,1,1,0,0,1,4,1,1,5,1,1,0,2,1,1,0
12059,0,0,0,2,0,0,0,0,2,1,5,2,1,4,3,3,0,2,1
12062,0,0,2,0,1,0,1,0,4,4,5,4,4,4,3,2,1,1,1
12063,0,0,2,1,1,0,0,0,5,1,2,5,1,2,3,3,1,1,2
12064,0,0,1,1,0,0,0,1,3,1,1,3,1,1,4,2,1,,2
12067,0,0,1,0,1,0,1,0,4,1,1,5,1,1,0,2,0,1,2
12068,0,1,3,1,1,0,0,0,3,4,4,4,5,2,2,2,1,0,1
12069,0,0,1,1,1,0,0,0,4,1,2,2,1,2,0,3,1,1,2
12070,0,1,2,2,0,0,0,0,3,2,2,4,2,2,3,3,0,,1
12071,0,1,1,1,1,0,0,1,2,2,2,4,2,2,3,3,0,2,1
12072,0,0,1,1,0,0,0,0,3,1,2,5,1,2,2,2,0,1,1
12073,0,0,2,2,1,0,1,0,5,5,4,5,5,1,2,1,1,1,1
12074,0,1,0,1,1,0,0,0,4,2,2,4,4,2,0,1,0,1,1
12075,1,1,1,1,0,0,0,1,4,2,1,5,2,1,3,2,1,1,1
12078,0,0,1,1,1,0,0,0,4,2,2,4,2,2,0,2,1,1,1
12080,0,0,0,0,1,0,1,,3,1,1,1,1,1,3,,1,,
